element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
44  14.638 3.2000 0.0000 14.563 3.0000 0.0000 14.813 3.0000 0.0000 14.738 3.2000 0.0000 0.0051051 0.087500
45  16.713 2.2000 0.0000 16.713 2.0000 0.0000 16.913 2.0000 0.0000 16.913 2.2000 0.0000 0.0062832 0.10000
46  16.713 2.4000 0.0000 16.713 2.2000 0.0000 16.913 2.2000 0.0000 16.913 2.4000 0.0000 0.0062832 0.10000
47  16.613 2.6000 0.0000 16.713 2.4000 0.0000 16.913 2.4000 0.0000 17.013 2.6000 0.0000 0.014661 0.15000
48  16.613 2.8000 0.0000 16.613 2.6000 0.0000 17.013 2.6000 0.0000 17.013 2.8000 0.0000 0.025133 0.20000
49  16.688 3.0000 0.0000 16.613 2.8000 0.0000 17.013 2.8000 0.0000 16.938 3.0000 0.0000 0.016886 0.16250
50  16.763 3.2000 0.0000 16.688 3.0000 0.0000 16.938 3.0000 0.0000 16.863 3.2000 0.0000 0.0051051 0.087500
51  18.838 2.2000 0.0000 18.838 2.0000 0.0000 19.038 2.0000 0.0000 19.038 2.2000 0.0000 0.0062832 0.10000
52  18.838 2.4000 0.0000 18.838 2.2000 0.0000 19.038 2.2000 0.0000 19.038 2.4000 0.0000 0.0062832 0.10000
53  18.738 2.6000 0.0000 18.838 2.4000 0.0000 19.038 2.4000 0.0000 19.138 2.6000 0.0000 0.014661 0.15000
54  18.738 2.8000 0.0000 18.738 2.6000 0.0000 19.138 2.6000 0.0000 19.138 2.8000 0.0000 0.025133 0.20000
55  18.813 3.0000 0.0000 18.738 2.8000 0.0000 19.138 2.8000 0.0000 19.063 3.0000 0.0000 0.016886 0.16250
56  18.888 3.2000 0.0000 18.813 3.0000 0.0000 19.063 3.0000 0.0000 18.988 3.2000 0.0000 0.0051051 0.087500
