cctdif2d
volumeGrid 762
 (2.9000 1.0250 0.40000)  (2.9500 1.0250 0.40000)  (2.9500 0.97500 0.40000)  (2.9000 0.97500 0.40000) 
 (2.9000 1.0250 0.45000)  (2.9500 1.0250 0.45000)  (2.9500 0.97500 0.45000)  (2.9000 0.97500 0.45000) 
 (2.9000 0.97500 -0.45000)  (2.9500 0.97500 -0.45000)  (2.9500 0.92500 -0.45000)  (2.9000 0.92500 -0.45000) 
 (2.9000 0.97500 -0.40000)  (2.9500 0.97500 -0.40000)  (2.9500 0.92500 -0.40000)  (2.9000 0.92500 -0.40000) 
 (2.9000 0.97500 -0.35000)  (2.9500 0.97500 -0.35000)  (2.9500 0.92500 -0.35000)  (2.9000 0.92500 -0.35000) 
 (2.9000 0.97500 -0.30000)  (2.9500 0.97500 -0.30000)  (2.9500 0.92500 -0.30000)  (2.9000 0.92500 -0.30000) 
 (2.9000 0.97500 -0.25000)  (2.9500 0.97500 -0.25000)  (2.9500 0.92500 -0.25000)  (2.9000 0.92500 -0.25000) 
 (2.9000 0.97500 -0.20000)  (2.9500 0.97500 -0.20000)  (2.9500 0.92500 -0.20000)  (2.9000 0.92500 -0.20000) 
 (2.9000 0.97500 -0.15000)  (2.9500 0.97500 -0.15000)  (2.9500 0.92500 -0.15000)  (2.9000 0.92500 -0.15000) 
 (2.9000 0.97500 -0.10000)  (2.9500 0.97500 -0.10000)  (2.9500 0.92500 -0.10000)  (2.9000 0.92500 -0.10000) 
 (2.9000 0.97500 -0.050000)  (2.9500 0.97500 -0.050000)  (2.9500 0.92500 -0.050000)  (2.9000 0.92500 -0.050000) 
 (2.9000 0.97500 0.0000)  (2.9500 0.97500 0.0000)  (2.9500 0.92500 0.0000)  (2.9000 0.92500 0.0000) 
 (2.9000 0.97500 0.050000)  (2.9500 0.97500 0.050000)  (2.9500 0.92500 0.050000)  (2.9000 0.92500 0.050000) 
 (2.9000 0.97500 0.10000)  (2.9500 0.97500 0.10000)  (2.9500 0.92500 0.10000)  (2.9000 0.92500 0.10000) 
 (2.9000 0.97500 0.15000)  (2.9500 0.97500 0.15000)  (2.9500 0.92500 0.15000)  (2.9000 0.92500 0.15000) 
 (2.9000 0.97500 0.20000)  (2.9500 0.97500 0.20000)  (2.9500 0.92500 0.20000)  (2.9000 0.92500 0.20000) 
 (2.9000 0.97500 0.25000)  (2.9500 0.97500 0.25000)  (2.9500 0.92500 0.25000)  (2.9000 0.92500 0.25000) 
 (2.9000 0.97500 0.30000)  (2.9500 0.97500 0.30000)  (2.9500 0.92500 0.30000)  (2.9000 0.92500 0.30000) 
 (2.9000 0.97500 0.35000)  (2.9500 0.97500 0.35000)  (2.9500 0.92500 0.35000)  (2.9000 0.92500 0.35000) 
 (2.9000 0.97500 0.40000)  (2.9500 0.97500 0.40000)  (2.9500 0.92500 0.40000)  (2.9000 0.92500 0.40000) 
 (2.9000 0.97500 0.45000)  (2.9500 0.97500 0.45000)  (2.9500 0.92500 0.45000)  (2.9000 0.92500 0.45000) 
 (2.9000 0.92500 -0.45000)  (2.9500 0.92500 -0.45000)  (2.9500 0.87500 -0.45000)  (2.9000 0.87500 -0.45000) 
 (2.9000 0.92500 -0.40000)  (2.9500 0.92500 -0.40000)  (2.9500 0.87500 -0.40000)  (2.9000 0.87500 -0.40000) 
 (2.9000 0.92500 -0.35000)  (2.9500 0.92500 -0.35000)  (2.9500 0.87500 -0.35000)  (2.9000 0.87500 -0.35000) 
 (2.9000 0.92500 -0.30000)  (2.9500 0.92500 -0.30000)  (2.9500 0.87500 -0.30000)  (2.9000 0.87500 -0.30000) 
 (2.9000 0.92500 -0.25000)  (2.9500 0.92500 -0.25000)  (2.9500 0.87500 -0.25000)  (2.9000 0.87500 -0.25000) 
