element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
41  2.9000 1.3250 -0.050000 2.9500 1.3250 -0.050000 2.9500 1.2750 -0.050000 2.9000 1.2750 -0.050000 0.00012500 0.050000
42  2.9000 1.3250 0.0000 2.9500 1.3250 0.0000 2.9500 1.2750 0.0000 2.9000 1.2750 0.0000 0.00012500 0.050000
43  2.9000 1.3250 0.050000 2.9500 1.3250 0.050000 2.9500 1.2750 0.050000 2.9000 1.2750 0.050000 0.00012500 0.050000
44  2.9000 1.3250 0.10000 2.9500 1.3250 0.10000 2.9500 1.2750 0.10000 2.9000 1.2750 0.10000 0.00012500 0.050000
45  2.9000 1.3250 0.15000 2.9500 1.3250 0.15000 2.9500 1.2750 0.15000 2.9000 1.2750 0.15000 0.00012500 0.050000
46  2.9000 1.3250 0.20000 2.9500 1.3250 0.20000 2.9500 1.2750 0.20000 2.9000 1.2750 0.20000 0.00012500 0.050000
47  2.9000 1.3250 0.25000 2.9500 1.3250 0.25000 2.9500 1.2750 0.25000 2.9000 1.2750 0.25000 0.00012500 0.050000
48  2.9000 1.3250 0.30000 2.9500 1.3250 0.30000 2.9500 1.2750 0.30000 2.9000 1.2750 0.30000 0.00012500 0.050000
49  2.9000 1.3250 0.35000 2.9500 1.3250 0.35000 2.9500 1.2750 0.35000 2.9000 1.2750 0.35000 0.00012500 0.050000
50  2.9000 1.2750 -0.40000 2.9500 1.2750 -0.40000 2.9500 1.2250 -0.40000 2.9000 1.2250 -0.40000 0.00012500 0.050000
51  2.9000 1.2750 -0.35000 2.9500 1.2750 -0.35000 2.9500 1.2250 -0.35000 2.9000 1.2250 -0.35000 0.00012500 0.050000
52  2.9000 1.2750 -0.30000 2.9500 1.2750 -0.30000 2.9500 1.2250 -0.30000 2.9000 1.2250 -0.30000 0.00012500 0.050000
53  2.9000 1.2750 -0.25000 2.9500 1.2750 -0.25000 2.9500 1.2250 -0.25000 2.9000 1.2250 -0.25000 0.00012500 0.050000
54  2.9000 1.2750 -0.20000 2.9500 1.2750 -0.20000 2.9500 1.2250 -0.20000 2.9000 1.2250 -0.20000 0.00012500 0.050000
55  2.9000 1.2750 -0.15000 2.9500 1.2750 -0.15000 2.9500 1.2250 -0.15000 2.9000 1.2250 -0.15000 0.00012500 0.050000
56  2.9000 1.2750 -0.10000 2.9500 1.2750 -0.10000 2.9500 1.2250 -0.10000 2.9000 1.2250 -0.10000 0.00012500 0.050000
57  2.9000 1.2750 -0.050000 2.9500 1.2750 -0.050000 2.9500 1.2250 -0.050000 2.9000 1.2250 -0.050000 0.00012500 0.050000
58  2.9000 1.2750 0.0000 2.9500 1.2750 0.0000 2.9500 1.2250 0.0000 2.9000 1.2250 0.0000 0.00012500 0.050000
59  2.9000 1.2750 0.050000 2.9500 1.2750 0.050000 2.9500 1.2250 0.050000 2.9000 1.2250 0.050000 0.00012500 0.050000
60  2.9000 1.2750 0.10000 2.9500 1.2750 0.10000 2.9500 1.2250 0.10000 2.9000 1.2250 0.10000 0.00012500 0.050000
61  2.9000 1.2750 0.15000 2.9500 1.2750 0.15000 2.9500 1.2250 0.15000 2.9000 1.2250 0.15000 0.00012500 0.050000
62  2.9000 1.2750 0.20000 2.9500 1.2750 0.20000 2.9500 1.2250 0.20000 2.9000 1.2250 0.20000 0.00012500 0.050000
63  2.9000 1.2750 0.25000 2.9500 1.2750 0.25000 2.9500 1.2250 0.25000 2.9000 1.2250 0.25000 0.00012500 0.050000
64  2.9000 1.2750 0.30000 2.9500 1.2750 0.30000 2.9500 1.2250 0.30000 2.9000 1.2250 0.30000 0.00012500 0.050000
65  2.9000 1.2750 0.35000 2.9500 1.2750 0.35000 2.9500 1.2250 0.35000 2.9000 1.2250 0.35000 0.00012500 0.050000
66  2.9000 1.2750 0.40000 2.9500 1.2750 0.40000 2.9500 1.2250 0.40000 2.9000 1.2250 0.40000 0.00012500 0.050000
67  2.9000 1.2250 -0.45000 2.9500 1.2250 -0.45000 2.9500 1.1750 -0.45000 2.9000 1.1750 -0.45000 0.00012500 0.050000
68  2.9000 1.2250 -0.40000 2.9500 1.2250 -0.40000 2.9500 1.1750 -0.40000 2.9000 1.1750 -0.40000 0.00012500 0.050000
69  2.9000 1.2250 -0.35000 2.9500 1.2250 -0.35000 2.9500 1.1750 -0.35000 2.9000 1.1750 -0.35000 0.00012500 0.050000
70  2.9000 1.2250 -0.30000 2.9500 1.2250 -0.30000 2.9500 1.1750 -0.30000 2.9000 1.1750 -0.30000 0.00012500 0.050000
71  2.9000 1.2250 -0.25000 2.9500 1.2250 -0.25000 2.9500 1.1750 -0.25000 2.9000 1.1750 -0.25000 0.00012500 0.050000
72  2.9000 1.2250 -0.20000 2.9500 1.2250 -0.20000 2.9500 1.1750 -0.20000 2.9000 1.1750 -0.20000 0.00012500 0.050000
73  2.9000 1.2250 -0.15000 2.9500 1.2250 -0.15000 2.9500 1.1750 -0.15000 2.9000 1.1750 -0.15000 0.00012500 0.050000
74  2.9000 1.2250 -0.10000 2.9500 1.2250 -0.10000 2.9500 1.1750 -0.10000 2.9000 1.1750 -0.10000 0.00012500 0.050000
75  2.9000 1.2250 -0.050000 2.9500 1.2250 -0.050000 2.9500 1.1750 -0.050000 2.9000 1.1750 -0.050000 0.00012500 0.050000
76  2.9000 1.2250 0.0000 2.9500 1.2250 0.0000 2.9500 1.1750 0.0000 2.9000 1.1750 0.0000 0.00012500 0.050000
77  2.9000 1.2250 0.050000 2.9500 1.2250 0.050000 2.9500 1.1750 0.050000 2.9000 1.1750 0.050000 0.00012500 0.050000
78  2.9000 1.2250 0.10000 2.9500 1.2250 0.10000 2.9500 1.1750 0.10000 2.9000 1.1750 0.10000 0.00012500 0.050000
79  2.9000 1.2250 0.15000 2.9500 1.2250 0.15000 2.9500 1.1750 0.15000 2.9000 1.1750 0.15000 0.00012500 0.050000
80  2.9000 1.2250 0.20000 2.9500 1.2250 0.20000 2.9500 1.1750 0.20000 2.9000 1.1750 0.20000 0.00012500 0.050000
81  2.9000 1.2250 0.25000 2.9500 1.2250 0.25000 2.9500 1.1750 0.25000 2.9000 1.1750 0.25000 0.00012500 0.050000
82  2.9000 1.2250 0.30000 2.9500 1.2250 0.30000 2.9500 1.1750 0.30000 2.9000 1.1750 0.30000 0.00012500 0.050000
83  2.9000 1.2250 0.35000 2.9500 1.2250 0.35000 2.9500 1.1750 0.35000 2.9000 1.1750 0.35000 0.00012500 0.050000
84  2.9000 1.2250 0.40000 2.9500 1.2250 0.40000 2.9500 1.1750 0.40000 2.9000 1.1750 0.40000 0.00012500 0.050000
85  2.9000 1.2250 0.45000 2.9500 1.2250 0.45000 2.9500 1.1750 0.45000 2.9000 1.1750 0.45000 0.00012500 0.050000
86  2.9000 1.1750 -0.45000 2.9500 1.1750 -0.45000 2.9500 1.1250 -0.45000 2.9000 1.1250 -0.45000 0.00012500 0.050000
87  2.9000 1.1750 -0.40000 2.9500 1.1750 -0.40000 2.9500 1.1250 -0.40000 2.9000 1.1250 -0.40000 0.00012500 0.050000
88  2.9000 1.1750 -0.35000 2.9500 1.1750 -0.35000 2.9500 1.1250 -0.35000 2.9000 1.1250 -0.35000 0.00012500 0.050000
89  2.9000 1.1750 -0.30000 2.9500 1.1750 -0.30000 2.9500 1.1250 -0.30000 2.9000 1.1250 -0.30000 0.00012500 0.050000
90  2.9000 1.1750 -0.25000 2.9500 1.1750 -0.25000 2.9500 1.1250 -0.25000 2.9000 1.1250 -0.25000 0.00012500 0.050000
91  2.9000 1.1750 -0.20000 2.9500 1.1750 -0.20000 2.9500 1.1250 -0.20000 2.9000 1.1250 -0.20000 0.00012500 0.050000
92  2.9000 1.1750 -0.15000 2.9500 1.1750 -0.15000 2.9500 1.1250 -0.15000 2.9000 1.1250 -0.15000 0.00012500 0.050000
93  2.9000 1.1750 -0.10000 2.9500 1.1750 -0.10000 2.9500 1.1250 -0.10000 2.9000 1.1250 -0.10000 0.00012500 0.050000
94  2.9000 1.1750 -0.050000 2.9500 1.1750 -0.050000 2.9500 1.1250 -0.050000 2.9000 1.1250 -0.050000 0.00012500 0.050000
95  2.9000 1.1750 0.0000 2.9500 1.1750 0.0000 2.9500 1.1250 0.0000 2.9000 1.1250 0.0000 0.00012500 0.050000
96  2.9000 1.1750 0.050000 2.9500 1.1750 0.050000 2.9500 1.1250 0.050000 2.9000 1.1250 0.050000 0.00012500 0.050000
97  2.9000 1.1750 0.10000 2.9500 1.1750 0.10000 2.9500 1.1250 0.10000 2.9000 1.1250 0.10000 0.00012500 0.050000
98  2.9000 1.1750 0.15000 2.9500 1.1750 0.15000 2.9500 1.1250 0.15000 2.9000 1.1250 0.15000 0.00012500 0.050000
99  2.9000 1.1750 0.20000 2.9500 1.1750 0.20000 2.9500 1.1250 0.20000 2.9000 1.1250 0.20000 0.00012500 0.050000
100  2.9000 1.1750 0.25000 2.9500 1.1750 0.25000 2.9500 1.1250 0.25000 2.9000 1.1250 0.25000 0.00012500 0.050000
101  2.9000 1.1750 0.30000 2.9500 1.1750 0.30000 2.9500 1.1250 0.30000 2.9000 1.1250 0.30000 0.00012500 0.050000
102  2.9000 1.1750 0.35000 2.9500 1.1750 0.35000 2.9500 1.1250 0.35000 2.9000 1.1250 0.35000 0.00012500 0.050000
103  2.9000 1.1750 0.40000 2.9500 1.1750 0.40000 2.9500 1.1250 0.40000 2.9000 1.1250 0.40000 0.00012500 0.050000
104  2.9000 1.1750 0.45000 2.9500 1.1750 0.45000 2.9500 1.1250 0.45000 2.9000 1.1250 0.45000 0.00012500 0.050000
105  2.9000 1.1250 -0.45000 2.9500 1.1250 -0.45000 2.9500 1.0750 -0.45000 2.9000 1.0750 -0.45000 0.00012500 0.050000
106  2.9000 1.1250 -0.40000 2.9500 1.1250 -0.40000 2.9500 1.0750 -0.40000 2.9000 1.0750 -0.40000 0.00012500 0.050000
107  2.9000 1.1250 -0.35000 2.9500 1.1250 -0.35000 2.9500 1.0750 -0.35000 2.9000 1.0750 -0.35000 0.00012500 0.050000
108  2.9000 1.1250 -0.30000 2.9500 1.1250 -0.30000 2.9500 1.0750 -0.30000 2.9000 1.0750 -0.30000 0.00012500 0.050000
109  2.9000 1.1250 -0.25000 2.9500 1.1250 -0.25000 2.9500 1.0750 -0.25000 2.9000 1.0750 -0.25000 0.00012500 0.050000
110  2.9000 1.1250 -0.20000 2.9500 1.1250 -0.20000 2.9500 1.0750 -0.20000 2.9000 1.0750 -0.20000 0.00012500 0.050000
111  2.9000 1.1250 -0.15000 2.9500 1.1250 -0.15000 2.9500 1.0750 -0.15000 2.9000 1.0750 -0.15000 0.00012500 0.050000
112  2.9000 1.1250 -0.10000 2.9500 1.1250 -0.10000 2.9500 1.0750 -0.10000 2.9000 1.0750 -0.10000 0.00012500 0.050000
113  2.9000 1.1250 -0.050000 2.9500 1.1250 -0.050000 2.9500 1.0750 -0.050000 2.9000 1.0750 -0.050000 0.00012500 0.050000
114  2.9000 1.1250 0.0000 2.9500 1.1250 0.0000 2.9500 1.0750 0.0000 2.9000 1.0750 0.0000 0.00012500 0.050000
115  2.9000 1.1250 0.050000 2.9500 1.1250 0.050000 2.9500 1.0750 0.050000 2.9000 1.0750 0.050000 0.00012500 0.050000
116  2.9000 1.1250 0.10000 2.9500 1.1250 0.10000 2.9500 1.0750 0.10000 2.9000 1.0750 0.10000 0.00012500 0.050000
