cctdif2d
volumeGrid 223
 (3.1408 0.75743 0.0000)  (3.2772 0.74834 0.0000)  (3.2683 0.61530 0.0000)  (3.1319 0.62439 0.0000) 
 (3.1319 0.62439 0.0000)  (3.2683 0.61530 0.0000)  (3.2594 0.48226 0.0000)  (3.1231 0.49135 0.0000) 
 (3.1231 0.49135 0.0000)  (3.2594 0.48226 0.0000)  (3.2506 0.34922 0.0000)  (3.1142 0.35831 0.0000) 
 (3.1142 0.35831 0.0000)  (3.2506 0.34922 0.0000)  (3.2479 0.30931 0.0000)  (3.1115 0.31840 0.0000) 
 (3.2976 1.0543 0.0000)  (3.4339 1.0452 0.0000)  (3.4313 1.0053 0.0000)  (3.2949 1.0144 0.0000) 
 (3.2949 1.0144 0.0000)  (3.4313 1.0053 0.0000)  (3.4224 0.87228 0.0000)  (3.2860 0.88138 0.0000) 
 (3.2860 0.88138 0.0000)  (3.4224 0.87228 0.0000)  (3.4135 0.73925 0.0000)  (3.2772 0.74834 0.0000) 
 (3.2772 0.74834 0.0000)  (3.4135 0.73925 0.0000)  (3.4047 0.60621 0.0000)  (3.2683 0.61530 0.0000) 
 (3.2683 0.61530 0.0000)  (3.4047 0.60621 0.0000)  (3.3958 0.47317 0.0000)  (3.2594 0.48226 0.0000) 
 (3.2594 0.48226 0.0000)  (3.3958 0.47317 0.0000)  (3.3869 0.34013 0.0000)  (3.2506 0.34922 0.0000) 
 (3.2506 0.34922 0.0000)  (3.3869 0.34013 0.0000)  (3.3843 0.30022 0.0000)  (3.2479 0.30931 0.0000) 
 (3.4339 1.0452 0.0000)  (3.5703 1.0361 0.0000)  (3.5676 0.99623 0.0000)  (3.4313 1.0053 0.0000) 
 (3.4313 1.0053 0.0000)  (3.5676 0.99623 0.0000)  (3.5588 0.86319 0.0000)  (3.4224 0.87228 0.0000) 
 (3.4224 0.87228 0.0000)  (3.5588 0.86319 0.0000)  (3.5499 0.73016 0.0000)  (3.4135 0.73925 0.0000) 
 (3.4135 0.73925 0.0000)  (3.5499 0.73016 0.0000)  (3.5410 0.59712 0.0000)  (3.4047 0.60621 0.0000) 
 (3.4047 0.60621 0.0000)  (3.5410 0.59712 0.0000)  (3.5322 0.46408 0.0000)  (3.3958 0.47317 0.0000) 
 (3.3958 0.47317 0.0000)  (3.5322 0.46408 0.0000)  (3.5233 0.33104 0.0000)  (3.3869 0.34013 0.0000) 
 (3.3869 0.34013 0.0000)  (3.5233 0.33104 0.0000)  (3.5206 0.29113 0.0000)  (3.3843 0.30022 0.0000) 
 (3.5703 1.0361 0.0000)  (3.7067 1.0271 0.0000)  (3.7040 0.98714 0.0000)  (3.5676 0.99623 0.0000) 
 (3.5676 0.99623 0.0000)  (3.7040 0.98714 0.0000)  (3.6951 0.85410 0.0000)  (3.5588 0.86319 0.0000) 
 (3.5588 0.86319 0.0000)  (3.6951 0.85410 0.0000)  (3.6863 0.72106 0.0000)  (3.5499 0.73016 0.0000) 
 (3.5499 0.73016 0.0000)  (3.6863 0.72106 0.0000)  (3.6774 0.58803 0.0000)  (3.5410 0.59712 0.0000) 
 (3.5410 0.59712 0.0000)  (3.6774 0.58803 0.0000)  (3.6685 0.45499 0.0000)  (3.5322 0.46408 0.0000) 
 (3.5322 0.46408 0.0000)  (3.6685 0.45499 0.0000)  (3.6596 0.32195 0.0000)  (3.5233 0.33104 0.0000) 
 (3.5233 0.33104 0.0000)  (3.6596 0.32195 0.0000)  (3.6570 0.28204 0.0000)  (3.5206 0.29113 0.0000) 
 (3.7067 1.0271 0.0000)  (3.8430 1.0180 0.0000)  (3.8404 0.97805 0.0000)  (3.7040 0.98714 0.0000) 
 (3.7040 0.98714 0.0000)  (3.8404 0.97805 0.0000)  (3.8315 0.84501 0.0000)  (3.6951 0.85410 0.0000) 
 (3.6951 0.85410 0.0000)  (3.8315 0.84501 0.0000)  (3.8226 0.71197 0.0000)  (3.6863 0.72106 0.0000) 
 (3.6863 0.72106 0.0000)  (3.8226 0.71197 0.0000)  (3.8137 0.57894 0.0000)  (3.6774 0.58803 0.0000) 
 (3.6774 0.58803 0.0000)  (3.8137 0.57894 0.0000)  (3.8049 0.44590 0.0000)  (3.6685 0.45499 0.0000) 
 (3.6685 0.45499 0.0000)  (3.8049 0.44590 0.0000)  (3.7960 0.31286 0.0000)  (3.6596 0.32195 0.0000) 
 (3.6596 0.32195 0.0000)  (3.7960 0.31286 0.0000)  (3.7933 0.27295 0.0000)  (3.6570 0.28204 0.0000) 
 (3.8341 0.88492 0.0000)  (3.9705 0.87583 0.0000)  (3.9678 0.83592 0.0000)  (3.8315 0.84501 0.0000) 
 (3.8315 0.84501 0.0000)  (3.9678 0.83592 0.0000)  (3.9590 0.70288 0.0000)  (3.8226 0.71197 0.0000) 
 (3.8226 0.71197 0.0000)  (3.9590 0.70288 0.0000)  (3.9501 0.56984 0.0000)  (3.8137 0.57894 0.0000) 
 (3.8137 0.57894 0.0000)  (3.9501 0.56984 0.0000)  (3.9412 0.43681 0.0000)  (3.8049 0.44590 0.0000) 
 (3.8049 0.44590 0.0000)  (3.9412 0.43681 0.0000)  (3.9386 0.39690 0.0000)  (3.8022 0.40599 0.0000) 
 (3.9705 0.87583 0.0000)  (4.1069 0.86674 0.0000)  (4.1042 0.82683 0.0000)  (3.9678 0.83592 0.0000) 
 (3.9678 0.83592 0.0000)  (4.1042 0.82683 0.0000)  (4.0953 0.69379 0.0000)  (3.9590 0.70288 0.0000) 
 (3.9590 0.70288 0.0000)  (4.0953 0.69379 0.0000)  (4.0865 0.56075 0.0000)  (3.9501 0.56984 0.0000) 
 (3.9501 0.56984 0.0000)  (4.0865 0.56075 0.0000)  (4.0776 0.42772 0.0000)  (3.9412 0.43681 0.0000) 
 (3.9412 0.43681 0.0000)  (4.0776 0.42772 0.0000)  (4.0749 0.38780 0.0000)  (3.9386 0.39690 0.0000) 
 (4.1069 0.86674 0.0000)  (4.2432 0.85765 0.0000)  (4.2406 0.81774 0.0000)  (4.1042 0.82683 0.0000) 
 (4.1042 0.82683 0.0000)  (4.2406 0.81774 0.0000)  (4.2317 0.68470 0.0000)  (4.0953 0.69379 0.0000) 
