element_index  cx cy cz volume deltaZ
117  2.4561 1.1061 0.0000 0.0000 0.0000
118  2.2439 1.1061 0.0000 0.0000 0.0000
119  2.2439 0.89393 0.0000 0.0000 0.0000
120  2.4457 0.76903 0.0000 0.0000 0.0000
121  2.5810 0.90433 0.0000 0.0000 0.0000
122  2.5810 1.0957 0.0000 0.0000 0.0000
123  2.4457 1.2310 0.0000 0.0000 0.0000
124  2.2543 1.2310 0.0000 0.0000 0.0000
125  2.1190 1.0957 0.0000 0.0000 0.0000
126  2.1190 0.90433 0.0000 0.0000 0.0000
127  2.2543 0.76903 0.0000 0.0000 0.0000
128  2.4839 0.67664 0.0000 0.0000 0.0000
129  2.6734 0.86606 0.0000 0.0000 0.0000
130  2.6734 1.1339 0.0000 0.0000 0.0000
131  2.4839 1.3234 0.0000 0.0000 0.0000
132  2.2161 1.3234 0.0000 0.0000 0.0000
133  2.0266 1.1339 0.0000 0.0000 0.0000
134  2.0266 0.86606 0.0000 0.0000 0.0000
135  2.2161 0.67664 0.0000 0.0000 0.0000
136  2.4378 0.55865 0.0000 0.0000 0.0000
137  2.6000 0.62584 0.0000 0.0000 0.0000
138  2.7242 0.74999 0.0000 0.0000 0.0000
139  2.7914 0.91221 0.0000 0.0000 0.0000
140  2.7914 1.0878 0.0000 0.0000 0.0000
141  2.7242 1.2500 0.0000 0.0000 0.0000
142  2.6000 1.3742 0.0000 0.0000 0.0000
143  2.4378 1.4414 0.0000 0.0000 0.0000
144  2.2622 1.4414 0.0000 0.0000 0.0000
145  2.1000 1.3742 0.0000 0.0000 0.0000
146  1.9758 1.2500 0.0000 0.0000 0.0000
147  1.9086 1.0878 0.0000 0.0000 0.0000
148  1.9086 0.91221 0.0000 0.0000 0.0000
149  1.9758 0.74999 0.0000 0.0000 0.0000
150  2.1000 0.62584 0.0000 0.0000 0.0000
151  2.2622 0.55865 0.0000 0.0000 0.0000
152  2.5000 1.0000 0.0000 0.0000 0.0000
153  2.4000 1.0000 0.0000 0.0000 0.0000
154  2.5561 0.89393 0.0000 0.0000 0.0000
155  2.5561 1.1061 0.0000 0.0000 0.0000
156  2.3439 1.1061 0.0000 0.0000 0.0000
157  2.3439 0.89393 0.0000 0.0000 0.0000
158  2.5457 0.76903 0.0000 0.0000 0.0000
159  2.6810 0.90433 0.0000 0.0000 0.0000
160  2.6810 1.0957 0.0000 0.0000 0.0000
161  2.5457 1.2310 0.0000 0.0000 0.0000
162  2.3543 1.2310 0.0000 0.0000 0.0000
163  2.2190 1.0957 0.0000 0.0000 0.0000
164  2.2190 0.90433 0.0000 0.0000 0.0000
165  2.3543 0.76903 0.0000 0.0000 0.0000
166  2.5839 0.67664 0.0000 0.0000 0.0000
167  2.7734 0.86606 0.0000 0.0000 0.0000
168  2.7734 1.1339 0.0000 0.0000 0.0000
169  2.5839 1.3234 0.0000 0.0000 0.0000
170  2.3161 1.3234 0.0000 0.0000 0.0000
171  2.1266 1.1339 0.0000 0.0000 0.0000
172  2.1266 0.86606 0.0000 0.0000 0.0000
173  2.3161 0.67664 0.0000 0.0000 0.0000
174  2.5378 0.55865 0.0000 0.0000 0.0000
175  2.7000 0.62584 0.0000 0.0000 0.0000
176  2.8242 0.74999 0.0000 0.0000 0.0000
177  2.8914 0.91221 0.0000 0.0000 0.0000
178  2.8914 1.0878 0.0000 0.0000 0.0000
179  2.8242 1.2500 0.0000 0.0000 0.0000
180  2.7000 1.3742 0.0000 0.0000 0.0000
181  2.5378 1.4414 0.0000 0.0000 0.0000
182  2.3622 1.4414 0.0000 0.0000 0.0000
183  2.2000 1.3742 0.0000 0.0000 0.0000
184  2.0758 1.2500 0.0000 0.0000 0.0000
185  2.0086 1.0878 0.0000 0.0000 0.0000
186  2.0086 0.91221 0.0000 0.0000 0.0000
187  2.0758 0.74999 0.0000 0.0000 0.0000
188  2.2000 0.62584 0.0000 0.0000 0.0000
189  2.3622 0.55865 0.0000 0.0000 0.0000
190  2.6000 1.0000 0.0000 0.0000 0.0000
191  2.5000 1.0000 0.0000 0.0000 0.0000
192  2.6561 0.89393 0.0000 0.0000 0.0000
193  2.6561 1.1061 0.0000 0.0000 0.0000
194  2.4439 1.1061 0.0000 0.0000 0.0000
195  2.4439 0.89393 0.0000 0.0000 0.0000
196  2.6457 0.76903 0.0000 0.0000 0.0000
197  2.7810 0.90433 0.0000 0.0000 0.0000
198  2.7810 1.0957 0.0000 0.0000 0.0000
199  2.6457 1.2310 0.0000 0.0000 0.0000
200  2.4543 1.2310 0.0000 0.0000 0.0000
201  2.3190 1.0957 0.0000 0.0000 0.0000
202  2.3190 0.90433 0.0000 0.0000 0.0000
203  2.4543 0.76903 0.0000 0.0000 0.0000
204  2.6839 0.67664 0.0000 0.0000 0.0000
205  2.8734 0.86606 0.0000 0.0000 0.0000
206  2.8734 1.1339 0.0000 0.0000 0.0000
207  2.6839 1.3234 0.0000 0.0000 0.0000
208  2.4161 1.3234 0.0000 0.0000 0.0000
209  2.2266 1.1339 0.0000 0.0000 0.0000
210  2.2266 0.86606 0.0000 0.0000 0.0000
211  2.4161 0.67664 0.0000 0.0000 0.0000
212  2.6378 0.55865 0.0000 0.0000 0.0000
213  2.8000 0.62584 0.0000 0.0000 0.0000
214  2.9242 0.74999 0.0000 0.0000 0.0000
215  2.9914 0.91221 0.0000 0.0000 0.0000
216  2.9914 1.0878 0.0000 0.0000 0.0000
217  2.9242 1.2500 0.0000 0.0000 0.0000
218  2.8000 1.3742 0.0000 0.0000 0.0000
219  2.6378 1.4414 0.0000 0.0000 0.0000
220  2.4622 1.4414 0.0000 0.0000 0.0000
221  2.3000 1.3742 0.0000 0.0000 0.0000
222  2.1758 1.2500 0.0000 0.0000 0.0000
223  2.1086 1.0878 0.0000 0.0000 0.0000
224  2.1086 0.91221 0.0000 0.0000 0.0000
225  2.1758 0.74999 0.0000 0.0000 0.0000
226  2.3000 0.62584 0.0000 0.0000 0.0000
227  2.4622 0.55865 0.0000 0.0000 0.0000
228  2.7000 1.0000 0.0000 0.0000 0.0000
229  2.6000 1.0000 0.0000 0.0000 0.0000
230  2.7561 0.89393 0.0000 0.0000 0.0000
231  2.7561 1.1061 0.0000 0.0000 0.0000
232  2.5439 1.1061 0.0000 0.0000 0.0000
233  2.5439 0.89393 0.0000 0.0000 0.0000
234  2.7457 0.76903 0.0000 0.0000 0.0000
235  2.8810 0.90433 0.0000 0.0000 0.0000
236  2.8810 1.0957 0.0000 0.0000 0.0000
237  2.7457 1.2310 0.0000 0.0000 0.0000
238  2.5543 1.2310 0.0000 0.0000 0.0000
239  2.4190 1.0957 0.0000 0.0000 0.0000
240  2.4190 0.90433 0.0000 0.0000 0.0000
