element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
42  2.9956 0.63348 -0.13333 3.1319 0.62439 -0.13333 3.1231 0.49135 -0.13333 2.9867 0.50044 -0.13333 0.0024296 0.13333
43  2.9956 0.63348 0.0000 3.1319 0.62439 0.0000 3.1231 0.49135 0.0000 2.9867 0.50044 0.0000 0.0024296 0.13333
44  2.9956 0.63348 0.13333 3.1319 0.62439 0.13333 3.1231 0.49135 0.13333 2.9867 0.50044 0.13333 0.0024296 0.13333
45  3.1497 0.89047 -0.13333 3.2860 0.88138 -0.13333 3.2772 0.74834 -0.13333 3.1408 0.75743 -0.13333 0.0024296 0.13333
46  3.1497 0.89047 0.0000 3.2860 0.88138 0.0000 3.2772 0.74834 0.0000 3.1408 0.75743 0.0000 0.0024296 0.13333
47  3.1497 0.89047 0.13333 3.2860 0.88138 0.13333 3.2772 0.74834 0.13333 3.1408 0.75743 0.13333 0.0024296 0.13333
48  3.1408 0.75743 -0.13333 3.2772 0.74834 -0.13333 3.2683 0.61530 -0.13333 3.1319 0.62439 -0.13333 0.0024296 0.13333
49  3.1408 0.75743 0.0000 3.2772 0.74834 0.0000 3.2683 0.61530 0.0000 3.1319 0.62439 0.0000 0.0024296 0.13333
50  3.1408 0.75743 0.13333 3.2772 0.74834 0.13333 3.2683 0.61530 0.13333 3.1319 0.62439 0.13333 0.0024296 0.13333
51  3.1319 0.62439 -0.13333 3.2683 0.61530 -0.13333 3.2594 0.48226 -0.13333 3.1231 0.49135 -0.13333 0.0024296 0.13333
52  3.1319 0.62439 0.0000 3.2683 0.61530 0.0000 3.2594 0.48226 0.0000 3.1231 0.49135 0.0000 0.0024296 0.13333
53  3.1319 0.62439 0.13333 3.2683 0.61530 0.13333 3.2594 0.48226 0.13333 3.1231 0.49135 0.13333 0.0024296 0.13333
54  3.2860 0.88138 -0.13333 3.4224 0.87228 -0.13333 3.4135 0.73925 -0.13333 3.2772 0.74834 -0.13333 0.0024296 0.13333
55  3.2860 0.88138 0.0000 3.4224 0.87228 0.0000 3.4135 0.73925 0.0000 3.2772 0.74834 0.0000 0.0024296 0.13333
56  3.2860 0.88138 0.13333 3.4224 0.87228 0.13333 3.4135 0.73925 0.13333 3.2772 0.74834 0.13333 0.0024296 0.13333
57  3.2772 0.74834 -0.13333 3.4135 0.73925 -0.13333 3.4047 0.60621 -0.13333 3.2683 0.61530 -0.13333 0.0024296 0.13333
58  3.2772 0.74834 0.0000 3.4135 0.73925 0.0000 3.4047 0.60621 0.0000 3.2683 0.61530 0.0000 0.0024296 0.13333
59  3.2772 0.74834 0.13333 3.4135 0.73925 0.13333 3.4047 0.60621 0.13333 3.2683 0.61530 0.13333 0.0024296 0.13333
60  3.2683 0.61530 -0.13333 3.4047 0.60621 -0.13333 3.3958 0.47317 -0.13333 3.2594 0.48226 -0.13333 0.0024296 0.13333
61  3.2683 0.61530 0.0000 3.4047 0.60621 0.0000 3.3958 0.47317 0.0000 3.2594 0.48226 0.0000 0.0024296 0.13333
62  3.2683 0.61530 0.13333 3.4047 0.60621 0.13333 3.3958 0.47317 0.13333 3.2594 0.48226 0.13333 0.0024296 0.13333
63  3.4224 0.87228 0.0000 3.5588 0.86319 0.0000 3.5499 0.73016 0.0000 3.4135 0.73925 0.0000 0.0024296 0.13333
64  3.4135 0.73925 -0.13333 3.5499 0.73016 -0.13333 3.5410 0.59712 -0.13333 3.4047 0.60621 -0.13333 0.0024296 0.13333
65  3.4135 0.73925 0.0000 3.5499 0.73016 0.0000 3.5410 0.59712 0.0000 3.4047 0.60621 0.0000 0.0024296 0.13333
66  3.4135 0.73925 0.13333 3.5499 0.73016 0.13333 3.5410 0.59712 0.13333 3.4047 0.60621 0.13333 0.0024296 0.13333
67  3.4047 0.60621 0.0000 3.5410 0.59712 0.0000 3.5322 0.46408 0.0000 3.3958 0.47317 0.0000 0.0024296 0.13333
68  3.5588 0.86319 0.0000 3.6951 0.85410 0.0000 3.6863 0.72106 0.0000 3.5499 0.73016 0.0000 0.0024296 0.13333
