element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
42  5.2000 2.8667 0.0000 5.2000 3.8000 0.0000 6.1333 3.8000 0.0000 6.1333 2.8667 0.0000 0.43555 0.50000
43  6.1333 2.8667 0.0000 6.1333 3.8000 0.0000 7.0666 3.8000 0.0000 7.0666 2.8667 0.0000 0.43555 0.50000
44  7.0666 2.8667 0.0000 7.0666 3.8000 0.0000 8.0000 3.8000 0.0000 8.0000 2.8667 0.0000 0.43555 0.50000
45  -6.0000 3.8000 0.0000 -6.0000 4.7333 0.0000 -5.0666 4.7333 0.0000 -5.0666 3.8000 0.0000 0.43555 0.50000
46  -5.0666 3.8000 0.0000 -5.0666 4.7333 0.0000 -4.1333 4.7333 0.0000 -4.1333 3.8000 0.0000 0.43555 0.50000
47  -4.1333 3.8000 0.0000 -4.1333 4.7333 0.0000 -3.2000 4.7333 0.0000 -3.2000 3.8000 0.0000 0.43555 0.50000
48  -3.2000 3.8000 0.0000 -3.2000 4.7333 0.0000 -2.2667 4.7333 0.0000 -2.2667 3.8000 0.0000 0.43555 0.50000
49  -2.2667 3.8000 0.0000 -2.2667 4.7333 0.0000 -1.3333 4.7333 0.0000 -1.3333 3.8000 0.0000 0.43555 0.50000
50  -1.3333 3.8000 0.0000 -1.3333 4.7333 0.0000 -0.40000 4.7333 0.0000 -0.40000 3.8000 0.0000 0.43555 0.50000
51  -0.39999 3.8000 0.0000 -0.39999 4.7333 0.0000 0.53334 4.7333 0.0000 0.53334 3.8000 0.0000 0.43555 0.50000
52  0.53334 3.8000 0.0000 0.53334 4.7333 0.0000 1.4667 4.7333 0.0000 1.4667 3.8000 0.0000 0.43555 0.50000
53  1.4667 3.8000 0.0000 1.4667 4.7333 0.0000 2.4000 4.7333 0.0000 2.4000 3.8000 0.0000 0.43555 0.50000
54  2.4000 3.8000 0.0000 2.4000 4.7333 0.0000 3.3333 4.7333 0.0000 3.3333 3.8000 0.0000 0.43555 0.50000
55  3.3333 3.8000 0.0000 3.3333 4.7333 0.0000 4.2667 4.7333 0.0000 4.2667 3.8000 0.0000 0.43555 0.50000
56  4.2667 3.8000 0.0000 4.2667 4.7333 0.0000 5.2000 4.7333 0.0000 5.2000 3.8000 0.0000 0.43555 0.50000
57  5.2000 3.8000 0.0000 5.2000 4.7333 0.0000 6.1333 4.7333 0.0000 6.1333 3.8000 0.0000 0.43555 0.50000
58  6.1333 3.8000 0.0000 6.1333 4.7333 0.0000 7.0666 4.7333 0.0000 7.0666 3.8000 0.0000 0.43555 0.50000
59  7.0666 3.8000 0.0000 7.0666 4.7333 0.0000 8.0000 4.7333 0.0000 8.0000 3.8000 0.0000 0.43555 0.50000
