element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
38  -2.2204e-16 3.6429 -2.1429 0.43478 3.6429 -2.1429 0.43478 3.2143 -2.1429 -1.9429e-16 3.2143 -2.1429 0.079858 0.42857
39  -2.2204e-16 3.6429 -1.7143 0.43478 3.6429 -1.7143 0.43478 3.2143 -1.7143 -1.9429e-16 3.2143 -1.7143 0.079858 0.42857
40  -2.2204e-16 3.6429 -1.2857 0.43478 3.6429 -1.2857 0.43478 3.2143 -1.2857 -1.9429e-16 3.2143 -1.2857 0.079858 0.42857
41  -2.2204e-16 3.6429 -0.85714 0.43478 3.6429 -0.85714 0.43478 3.2143 -0.85714 -1.9429e-16 3.2143 -0.85714 0.079858 0.42857
42  -2.2204e-16 3.6429 -0.42857 0.43478 3.6429 -0.42857 0.43478 3.2143 -0.42857 -1.9429e-16 3.2143 -0.42857 0.079858 0.42857
43  -2.2204e-16 3.6429 0.0000 0.43478 3.6429 0.0000 0.43478 3.2143 0.0000 -1.9429e-16 3.2143 0.0000 0.079858 0.42857
44  -2.2204e-16 3.6429 0.42857 0.43478 3.6429 0.42857 0.43478 3.2143 0.42857 -1.9429e-16 3.2143 0.42857 0.079858 0.42857
45  -2.2204e-16 3.6429 0.85714 0.43478 3.6429 0.85714 0.43478 3.2143 0.85714 -1.9429e-16 3.2143 0.85714 0.079858 0.42857
46  -2.2204e-16 3.6429 1.2857 0.43478 3.6429 1.2857 0.43478 3.2143 1.2857 -1.9429e-16 3.2143 1.2857 0.079858 0.42857
47  -2.2204e-16 3.6429 1.7143 0.43478 3.6429 1.7143 0.43478 3.2143 1.7143 -1.9429e-16 3.2143 1.7143 0.079858 0.42857
48  -2.2204e-16 3.6429 2.1429 0.43478 3.6429 2.1429 0.43478 3.2143 2.1429 -1.9429e-16 3.2143 2.1429 0.079858 0.42857
49  -2.2204e-16 3.6429 2.5714 0.43478 3.6429 2.5714 0.43478 3.2143 2.5714 -1.9429e-16 3.2143 2.5714 0.079858 0.42857
50  -2.2204e-16 3.6429 3.0000 0.43478 3.6429 3.0000 0.43478 3.2143 3.0000 -1.9429e-16 3.2143 3.0000 0.079858 0.42857
51  -2.2204e-16 3.6429 3.4286 0.43478 3.6429 3.4286 0.43478 3.2143 3.4286 -1.9429e-16 3.2143 3.4286 0.079858 0.42857
52  -1.9429e-16 3.2143 -3.8571 0.43478 3.2143 -3.8571 0.43478 2.7857 -3.8571 -1.6653e-16 2.7857 -3.8571 0.079858 0.42857
53  -1.9429e-16 3.2143 -3.4286 0.43478 3.2143 -3.4286 0.43478 2.7857 -3.4286 -1.6653e-16 2.7857 -3.4286 0.079858 0.42857
54  -1.9429e-16 3.2143 -3.0000 0.43478 3.2143 -3.0000 0.43478 2.7857 -3.0000 -1.6653e-16 2.7857 -3.0000 0.079858 0.42857
55  -1.9429e-16 3.2143 -2.5714 0.43478 3.2143 -2.5714 0.43478 2.7857 -2.5714 -1.6653e-16 2.7857 -2.5714 0.079858 0.42857
56  -1.9429e-16 3.2143 -2.1429 0.43478 3.2143 -2.1429 0.43478 2.7857 -2.1429 -1.6653e-16 2.7857 -2.1429 0.079858 0.42857
57  -1.9429e-16 3.2143 -1.7143 0.43478 3.2143 -1.7143 0.43478 2.7857 -1.7143 -1.6653e-16 2.7857 -1.7143 0.079858 0.42857
58  -1.9429e-16 3.2143 -1.2857 0.43478 3.2143 -1.2857 0.43478 2.7857 -1.2857 -1.6653e-16 2.7857 -1.2857 0.079858 0.42857
59  -1.9429e-16 3.2143 -0.85714 0.43478 3.2143 -0.85714 0.43478 2.7857 -0.85714 -1.6653e-16 2.7857 -0.85714 0.079858 0.42857
60  -1.9429e-16 3.2143 -0.42857 0.43478 3.2143 -0.42857 0.43478 2.7857 -0.42857 -1.6653e-16 2.7857 -0.42857 0.079858 0.42857
61  -1.9429e-16 3.2143 0.0000 0.43478 3.2143 0.0000 0.43478 2.7857 0.0000 -1.6653e-16 2.7857 0.0000 0.079858 0.42857
62  -1.9429e-16 3.2143 0.42857 0.43478 3.2143 0.42857 0.43478 2.7857 0.42857 -1.6653e-16 2.7857 0.42857 0.079858 0.42857
63  -1.9429e-16 3.2143 0.85714 0.43478 3.2143 0.85714 0.43478 2.7857 0.85714 -1.6653e-16 2.7857 0.85714 0.079858 0.42857
64  -1.9429e-16 3.2143 1.2857 0.43478 3.2143 1.2857 0.43478 2.7857 1.2857 -1.6653e-16 2.7857 1.2857 0.079858 0.42857
65  -1.9429e-16 3.2143 1.7143 0.43478 3.2143 1.7143 0.43478 2.7857 1.7143 -1.6653e-16 2.7857 1.7143 0.079858 0.42857
66  -1.9429e-16 3.2143 2.1429 0.43478 3.2143 2.1429 0.43478 2.7857 2.1429 -1.6653e-16 2.7857 2.1429 0.079858 0.42857
67  -1.9429e-16 3.2143 2.5714 0.43478 3.2143 2.5714 0.43478 2.7857 2.5714 -1.6653e-16 2.7857 2.5714 0.079858 0.42857
68  -1.9429e-16 3.2143 3.0000 0.43478 3.2143 3.0000 0.43478 2.7857 3.0000 -1.6653e-16 2.7857 3.0000 0.079858 0.42857
69  -1.9429e-16 3.2143 3.4286 0.43478 3.2143 3.4286 0.43478 2.7857 3.4286 -1.6653e-16 2.7857 3.4286 0.079858 0.42857
70  -1.9429e-16 3.2143 3.8571 0.43478 3.2143 3.8571 0.43478 2.7857 3.8571 -1.6653e-16 2.7857 3.8571 0.079858 0.42857
71  -1.6653e-16 2.7857 -4.2857 0.43478 2.7857 -4.2857 0.43478 2.3571 -4.2857 -1.3878e-16 2.3571 -4.2857 0.079858 0.42857
72  -1.6653e-16 2.7857 -3.8571 0.43478 2.7857 -3.8571 0.43478 2.3571 -3.8571 -1.3878e-16 2.3571 -3.8571 0.079858 0.42857
73  -1.6653e-16 2.7857 -3.4286 0.43478 2.7857 -3.4286 0.43478 2.3571 -3.4286 -1.3878e-16 2.3571 -3.4286 0.079858 0.42857
74  -1.6653e-16 2.7857 -3.0000 0.43478 2.7857 -3.0000 0.43478 2.3571 -3.0000 -1.3878e-16 2.3571 -3.0000 0.079858 0.42857
75  -1.6653e-16 2.7857 -2.5714 0.43478 2.7857 -2.5714 0.43478 2.3571 -2.5714 -1.3878e-16 2.3571 -2.5714 0.079858 0.42857
76  -1.6653e-16 2.7857 -2.1429 0.43478 2.7857 -2.1429 0.43478 2.3571 -2.1429 -1.3878e-16 2.3571 -2.1429 0.079858 0.42857
77  -1.6653e-16 2.7857 -1.7143 0.43478 2.7857 -1.7143 0.43478 2.3571 -1.7143 -1.3878e-16 2.3571 -1.7143 0.079858 0.42857
78  -1.6653e-16 2.7857 -1.2857 0.43478 2.7857 -1.2857 0.43478 2.3571 -1.2857 -1.3878e-16 2.3571 -1.2857 0.079858 0.42857
79  -1.6653e-16 2.7857 -0.85714 0.43478 2.7857 -0.85714 0.43478 2.3571 -0.85714 -1.3878e-16 2.3571 -0.85714 0.079858 0.42857
80  -1.6653e-16 2.7857 -0.42857 0.43478 2.7857 -0.42857 0.43478 2.3571 -0.42857 -1.3878e-16 2.3571 -0.42857 0.079858 0.42857
81  -1.6653e-16 2.7857 0.0000 0.43478 2.7857 0.0000 0.43478 2.3571 0.0000 -1.3878e-16 2.3571 0.0000 0.079858 0.42857
82  -1.6653e-16 2.7857 0.42857 0.43478 2.7857 0.42857 0.43478 2.3571 0.42857 -1.3878e-16 2.3571 0.42857 0.079858 0.42857
83  -1.6653e-16 2.7857 0.85714 0.43478 2.7857 0.85714 0.43478 2.3571 0.85714 -1.3878e-16 2.3571 0.85714 0.079858 0.42857
84  -1.6653e-16 2.7857 1.2857 0.43478 2.7857 1.2857 0.43478 2.3571 1.2857 -1.3878e-16 2.3571 1.2857 0.079858 0.42857
85  -1.6653e-16 2.7857 1.7143 0.43478 2.7857 1.7143 0.43478 2.3571 1.7143 -1.3878e-16 2.3571 1.7143 0.079858 0.42857
86  -1.6653e-16 2.7857 2.1429 0.43478 2.7857 2.1429 0.43478 2.3571 2.1429 -1.3878e-16 2.3571 2.1429 0.079858 0.42857
87  -1.6653e-16 2.7857 2.5714 0.43478 2.7857 2.5714 0.43478 2.3571 2.5714 -1.3878e-16 2.3571 2.5714 0.079858 0.42857
88  -1.6653e-16 2.7857 3.0000 0.43478 2.7857 3.0000 0.43478 2.3571 3.0000 -1.3878e-16 2.3571 3.0000 0.079858 0.42857
89  -1.6653e-16 2.7857 3.4286 0.43478 2.7857 3.4286 0.43478 2.3571 3.4286 -1.3878e-16 2.3571 3.4286 0.079858 0.42857
90  -1.6653e-16 2.7857 3.8571 0.43478 2.7857 3.8571 0.43478 2.3571 3.8571 -1.3878e-16 2.3571 3.8571 0.079858 0.42857
91  -1.6653e-16 2.7857 4.2857 0.43478 2.7857 4.2857 0.43478 2.3571 4.2857 -1.3878e-16 2.3571 4.2857 0.079858 0.42857
92  -1.3878e-16 2.3571 -4.2857 0.43478 2.3571 -4.2857 0.43478 1.9286 -4.2857 -1.1102e-16 1.9286 -4.2857 0.079858 0.42857
93  -1.3878e-16 2.3571 -3.8571 0.43478 2.3571 -3.8571 0.43478 1.9286 -3.8571 -1.1102e-16 1.9286 -3.8571 0.079858 0.42857
94  -1.3878e-16 2.3571 -3.4286 0.43478 2.3571 -3.4286 0.43478 1.9286 -3.4286 -1.1102e-16 1.9286 -3.4286 0.079858 0.42857
95  -1.3878e-16 2.3571 -3.0000 0.43478 2.3571 -3.0000 0.43478 1.9286 -3.0000 -1.1102e-16 1.9286 -3.0000 0.079858 0.42857
96  -1.3878e-16 2.3571 -2.5714 0.43478 2.3571 -2.5714 0.43478 1.9286 -2.5714 -1.1102e-16 1.9286 -2.5714 0.079858 0.42857
97  -1.3878e-16 2.3571 -2.1429 0.43478 2.3571 -2.1429 0.43478 1.9286 -2.1429 -1.1102e-16 1.9286 -2.1429 0.079858 0.42857
98  -1.3878e-16 2.3571 -1.7143 0.43478 2.3571 -1.7143 0.43478 1.9286 -1.7143 -1.1102e-16 1.9286 -1.7143 0.079858 0.42857
99  -1.3878e-16 2.3571 -1.2857 0.43478 2.3571 -1.2857 0.43478 1.9286 -1.2857 -1.1102e-16 1.9286 -1.2857 0.079858 0.42857
100  -1.3878e-16 2.3571 -0.85714 0.43478 2.3571 -0.85714 0.43478 1.9286 -0.85714 -1.1102e-16 1.9286 -0.85714 0.079858 0.42857
101  -1.3878e-16 2.3571 -0.42857 0.43478 2.3571 -0.42857 0.43478 1.9286 -0.42857 -1.1102e-16 1.9286 -0.42857 0.079858 0.42857
102  -1.3878e-16 2.3571 0.0000 0.43478 2.3571 0.0000 0.43478 1.9286 0.0000 -1.1102e-16 1.9286 0.0000 0.079858 0.42857
103  -1.3878e-16 2.3571 0.42857 0.43478 2.3571 0.42857 0.43478 1.9286 0.42857 -1.1102e-16 1.9286 0.42857 0.079858 0.42857
104  -1.3878e-16 2.3571 0.85714 0.43478 2.3571 0.85714 0.43478 1.9286 0.85714 -1.1102e-16 1.9286 0.85714 0.079858 0.42857
105  -1.3878e-16 2.3571 1.2857 0.43478 2.3571 1.2857 0.43478 1.9286 1.2857 -1.1102e-16 1.9286 1.2857 0.079858 0.42857
106  -1.3878e-16 2.3571 1.7143 0.43478 2.3571 1.7143 0.43478 1.9286 1.7143 -1.1102e-16 1.9286 1.7143 0.079858 0.42857
107  -1.3878e-16 2.3571 2.1429 0.43478 2.3571 2.1429 0.43478 1.9286 2.1429 -1.1102e-16 1.9286 2.1429 0.079858 0.42857
108  -1.3878e-16 2.3571 2.5714 0.43478 2.3571 2.5714 0.43478 1.9286 2.5714 -1.1102e-16 1.9286 2.5714 0.079858 0.42857
109  -1.3878e-16 2.3571 3.0000 0.43478 2.3571 3.0000 0.43478 1.9286 3.0000 -1.1102e-16 1.9286 3.0000 0.079858 0.42857
110  -1.3878e-16 2.3571 3.4286 0.43478 2.3571 3.4286 0.43478 1.9286 3.4286 -1.1102e-16 1.9286 3.4286 0.079858 0.42857
111  -1.3878e-16 2.3571 3.8571 0.43478 2.3571 3.8571 0.43478 1.9286 3.8571 -1.1102e-16 1.9286 3.8571 0.079858 0.42857
112  -1.3878e-16 2.3571 4.2857 0.43478 2.3571 4.2857 0.43478 1.9286 4.2857 -1.1102e-16 1.9286 4.2857 0.079858 0.42857
113  -1.1102e-16 1.9286 -4.2857 0.43478 1.9286 -4.2857 0.43478 1.5000 -4.2857 -8.3267e-17 1.5000 -4.2857 0.079858 0.42857
114  -1.1102e-16 1.9286 -3.8571 0.43478 1.9286 -3.8571 0.43478 1.5000 -3.8571 -8.3267e-17 1.5000 -3.8571 0.079858 0.42857
115  -1.1102e-16 1.9286 -3.4286 0.43478 1.9286 -3.4286 0.43478 1.5000 -3.4286 -8.3267e-17 1.5000 -3.4286 0.079858 0.42857
116  -1.1102e-16 1.9286 -3.0000 0.43478 1.9286 -3.0000 0.43478 1.5000 -3.0000 -8.3267e-17 1.5000 -3.0000 0.079858 0.42857
117  -1.1102e-16 1.9286 -2.5714 0.43478 1.9286 -2.5714 0.43478 1.5000 -2.5714 -8.3267e-17 1.5000 -2.5714 0.079858 0.42857
118  -1.1102e-16 1.9286 -2.1429 0.43478 1.9286 -2.1429 0.43478 1.5000 -2.1429 -8.3267e-17 1.5000 -2.1429 0.079858 0.42857
119  -1.1102e-16 1.9286 -1.7143 0.43478 1.9286 -1.7143 0.43478 1.5000 -1.7143 -8.3267e-17 1.5000 -1.7143 0.079858 0.42857
120  -1.1102e-16 1.9286 -1.2857 0.43478 1.9286 -1.2857 0.43478 1.5000 -1.2857 -8.3267e-17 1.5000 -1.2857 0.079858 0.42857
121  -1.1102e-16 1.9286 -0.85714 0.43478 1.9286 -0.85714 0.43478 1.5000 -0.85714 -8.3267e-17 1.5000 -0.85714 0.079858 0.42857
122  -1.1102e-16 1.9286 -0.42857 0.43478 1.9286 -0.42857 0.43478 1.5000 -0.42857 -8.3267e-17 1.5000 -0.42857 0.079858 0.42857
123  -1.1102e-16 1.9286 0.0000 0.43478 1.9286 0.0000 0.43478 1.5000 0.0000 -8.3267e-17 1.5000 0.0000 0.079858 0.42857
124  -1.1102e-16 1.9286 0.42857 0.43478 1.9286 0.42857 0.43478 1.5000 0.42857 -8.3267e-17 1.5000 0.42857 0.079858 0.42857
125  -1.1102e-16 1.9286 0.85714 0.43478 1.9286 0.85714 0.43478 1.5000 0.85714 -8.3267e-17 1.5000 0.85714 0.079858 0.42857
126  -1.1102e-16 1.9286 1.2857 0.43478 1.9286 1.2857 0.43478 1.5000 1.2857 -8.3267e-17 1.5000 1.2857 0.079858 0.42857
127  -1.1102e-16 1.9286 1.7143 0.43478 1.9286 1.7143 0.43478 1.5000 1.7143 -8.3267e-17 1.5000 1.7143 0.079858 0.42857
128  -1.1102e-16 1.9286 2.1429 0.43478 1.9286 2.1429 0.43478 1.5000 2.1429 -8.3267e-17 1.5000 2.1429 0.079858 0.42857
129  -1.1102e-16 1.9286 2.5714 0.43478 1.9286 2.5714 0.43478 1.5000 2.5714 -8.3267e-17 1.5000 2.5714 0.079858 0.42857
130  -1.1102e-16 1.9286 3.0000 0.43478 1.9286 3.0000 0.43478 1.5000 3.0000 -8.3267e-17 1.5000 3.0000 0.079858 0.42857
131  -1.1102e-16 1.9286 3.4286 0.43478 1.9286 3.4286 0.43478 1.5000 3.4286 -8.3267e-17 1.5000 3.4286 0.079858 0.42857
132  -1.1102e-16 1.9286 3.8571 0.43478 1.9286 3.8571 0.43478 1.5000 3.8571 -8.3267e-17 1.5000 3.8571 0.079858 0.42857
