cctdif2d
volumeGrid 10977
 (-2.2204e-16 3.6429 -1.7143)  (0.43478 3.6429 -1.7143)  (0.43478 3.2143 -1.7143)  (-1.9429e-16 3.2143 -1.7143) 
 (-2.2204e-16 3.6429 -1.2857)  (0.43478 3.6429 -1.2857)  (0.43478 3.2143 -1.2857)  (-1.9429e-16 3.2143 -1.2857) 
 (-2.2204e-16 3.6429 -0.85714)  (0.43478 3.6429 -0.85714)  (0.43478 3.2143 -0.85714)  (-1.9429e-16 3.2143 -0.85714) 
 (-2.2204e-16 3.6429 -0.42857)  (0.43478 3.6429 -0.42857)  (0.43478 3.2143 -0.42857)  (-1.9429e-16 3.2143 -0.42857) 
 (-2.2204e-16 3.6429 0.0000)  (0.43478 3.6429 0.0000)  (0.43478 3.2143 0.0000)  (-1.9429e-16 3.2143 0.0000) 
 (-2.2204e-16 3.6429 0.42857)  (0.43478 3.6429 0.42857)  (0.43478 3.2143 0.42857)  (-1.9429e-16 3.2143 0.42857) 
 (-2.2204e-16 3.6429 0.85714)  (0.43478 3.6429 0.85714)  (0.43478 3.2143 0.85714)  (-1.9429e-16 3.2143 0.85714) 
 (-2.2204e-16 3.6429 1.2857)  (0.43478 3.6429 1.2857)  (0.43478 3.2143 1.2857)  (-1.9429e-16 3.2143 1.2857) 
 (-2.2204e-16 3.6429 1.7143)  (0.43478 3.6429 1.7143)  (0.43478 3.2143 1.7143)  (-1.9429e-16 3.2143 1.7143) 
 (-2.2204e-16 3.6429 2.1429)  (0.43478 3.6429 2.1429)  (0.43478 3.2143 2.1429)  (-1.9429e-16 3.2143 2.1429) 
 (-2.2204e-16 3.6429 2.5714)  (0.43478 3.6429 2.5714)  (0.43478 3.2143 2.5714)  (-1.9429e-16 3.2143 2.5714) 
 (-2.2204e-16 3.6429 3.0000)  (0.43478 3.6429 3.0000)  (0.43478 3.2143 3.0000)  (-1.9429e-16 3.2143 3.0000) 
 (-2.2204e-16 3.6429 3.4286)  (0.43478 3.6429 3.4286)  (0.43478 3.2143 3.4286)  (-1.9429e-16 3.2143 3.4286) 
 (-1.9429e-16 3.2143 -3.8571)  (0.43478 3.2143 -3.8571)  (0.43478 2.7857 -3.8571)  (-1.6653e-16 2.7857 -3.8571) 
 (-1.9429e-16 3.2143 -3.4286)  (0.43478 3.2143 -3.4286)  (0.43478 2.7857 -3.4286)  (-1.6653e-16 2.7857 -3.4286) 
 (-1.9429e-16 3.2143 -3.0000)  (0.43478 3.2143 -3.0000)  (0.43478 2.7857 -3.0000)  (-1.6653e-16 2.7857 -3.0000) 
 (-1.9429e-16 3.2143 -2.5714)  (0.43478 3.2143 -2.5714)  (0.43478 2.7857 -2.5714)  (-1.6653e-16 2.7857 -2.5714) 
 (-1.9429e-16 3.2143 -2.1429)  (0.43478 3.2143 -2.1429)  (0.43478 2.7857 -2.1429)  (-1.6653e-16 2.7857 -2.1429) 
 (-1.9429e-16 3.2143 -1.7143)  (0.43478 3.2143 -1.7143)  (0.43478 2.7857 -1.7143)  (-1.6653e-16 2.7857 -1.7143) 
 (-1.9429e-16 3.2143 -1.2857)  (0.43478 3.2143 -1.2857)  (0.43478 2.7857 -1.2857)  (-1.6653e-16 2.7857 -1.2857) 
 (-1.9429e-16 3.2143 -0.85714)  (0.43478 3.2143 -0.85714)  (0.43478 2.7857 -0.85714)  (-1.6653e-16 2.7857 -0.85714) 
 (-1.9429e-16 3.2143 -0.42857)  (0.43478 3.2143 -0.42857)  (0.43478 2.7857 -0.42857)  (-1.6653e-16 2.7857 -0.42857) 
 (-1.9429e-16 3.2143 0.0000)  (0.43478 3.2143 0.0000)  (0.43478 2.7857 0.0000)  (-1.6653e-16 2.7857 0.0000) 
 (-1.9429e-16 3.2143 0.42857)  (0.43478 3.2143 0.42857)  (0.43478 2.7857 0.42857)  (-1.6653e-16 2.7857 0.42857) 
 (-1.9429e-16 3.2143 0.85714)  (0.43478 3.2143 0.85714)  (0.43478 2.7857 0.85714)  (-1.6653e-16 2.7857 0.85714) 
