Time 2ag_AVG_dendrite STD_dendrite 2ag_AVG_SM_dendrite STD_SM_dendrite 2ag_AVG_CT_dendrite STD_CT_dendrite 2ag_AVG_neck.sa1[0] STD_neck.sa1[0] 2ag_AVG_CT_neck.sa1[0] STD_CT_neck.sa1[0] 2ag_AVG_head.sa1[0] STD_head.sa1[0] 2ag_AVG_CT_head.sa1[0] STD_CT_head.sa1[0] 2ag_AVG_PSD.sa1[0] STD_PSD.sa1[0] 2ag_AVG_CT_PSD.sa1[0] STD_CT_PSD.sa1[0] 2ag_AVG_neck.sa1[1] STD_neck.sa1[1] 2ag_AVG_CT_neck.sa1[1] STD_CT_neck.sa1[1] 2ag_AVG_head.sa1[1] STD_head.sa1[1] 2ag_AVG_CT_head.sa1[1] STD_CT_head.sa1[1] 2ag_AVG_PSD.sa1[1] STD_PSD.sa1[1] 2ag_AVG_CT_PSD.sa1[1] STD_CT_PSD.sa1[1] 2ag_AVG_FAKE.sa2[0] STD_FAKE.sa2[0] 2ag_AVG_CT_FAKE.sa2[0] STD_CT_FAKE.sa2[0] 2ag_AVG_FAKE.sa2[1] STD_FAKE.sa2[1] 2ag_AVG_CT_FAKE.sa2[1] STD_CT_FAKE.sa2[1] 2ag_AVG_FAKE.sa2[2] STD_FAKE.sa2[2] 2ag_AVG_CT_FAKE.sa2[2] STD_CT_FAKE.sa2[2] 2ag_AVG_FAKE.sa2[3] STD_FAKE.sa2[3] 2ag_AVG_CT_FAKE.sa2[3] STD_CT_FAKE.sa2[3] 2ag_AVG_FAKE.sa2[4] STD_FAKE.sa2[4] 2ag_AVG_CT_FAKE.sa2[4] STD_CT_FAKE.sa2[4] 2ag_AVG_TOTAL STD_TOTAL
950 0.0102041 0.100499 0.0357143 0.185577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0087784 0.0928364 
1000 0.0102041 0.100499 0 0 0.0142857 0.118666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0087784 0.0928364 
1050 0.0204082 0.141392 0.0357143 0.185577 0.0142857 0.118666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0175568 0.130702 
1100 0.0306123 0.172265 0 0 0.0428572 0.202535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0263352 0.159353 
1150 0.0306123 0.172265 0.0357143 0.185577 0.0285714 0.166599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0263352 0.159353 
1200 0.0408164 0.197864 0 0 0.0571429 0.232115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0351136 0.183166 
1250 0.0204082 0.141392 0 0 0.0285714 0.166599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0175568 0.130702 
1300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1350 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1450 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1500 0.0102041 0.100499 0.0357143 0.185577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0087784 0.0928364 
