element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
42  5.2214 2.7429 0.0000 5.2571 2.5571 0.0000 5.4571 2.5571 0.0000 5.4929 2.7429 0.0000 0.0081662 0.11786
43  5.1750 2.9286 0.0000 5.2214 2.7429 0.0000 5.4929 2.7429 0.0000 5.5393 2.9286 0.0000 0.014841 0.15893
44  5.1571 3.1143 0.0000 5.1750 2.9286 0.0000 5.5393 2.9286 0.0000 5.5571 3.1143 0.0000 0.021316 0.19107
45  5.3071 3.3000 0.0000 5.1571 3.1143 0.0000 5.5571 3.1143 0.0000 5.4071 3.3000 0.0000 0.010210 0.12500
46  7.6000 -0.18571 0.0000 7.6000 2.2817e-16 0.0000 7.4000 2.1592e-16 0.0000 7.4000 -0.18571 0.0000 0.0058344 0.10000
47  7.6000 -0.37143 0.0000 7.6000 -0.18571 0.0000 7.4000 -0.18571 0.0000 7.4000 -0.37143 0.0000 0.0058344 0.10000
48  7.6000 -0.55714 0.0000 7.6000 -0.37143 0.0000 7.4000 -0.37143 0.0000 7.4000 -0.55714 0.0000 0.0058344 0.10000
49  7.6357 -0.74286 0.0000 7.6000 -0.55714 0.0000 7.4000 -0.55714 0.0000 7.3643 -0.74286 0.0000 0.0081662 0.11786
50  7.6821 -0.92857 0.0000 7.6357 -0.74286 0.0000 7.3643 -0.74286 0.0000 7.3179 -0.92857 0.0000 0.014841 0.15893
51  7.7000 -1.1143 0.0000 7.6821 -0.92857 0.0000 7.3179 -0.92857 0.0000 7.3000 -1.1143 0.0000 0.021316 0.19107
52  7.5500 -1.3000 0.0000 7.7000 -1.1143 0.0000 7.3000 -1.1143 0.0000 7.4500 -1.3000 0.0000 0.010210 0.12500
53  7.6000 -0.18571 0.0000 7.6000 2.2817e-16 0.0000 7.4000 2.1592e-16 0.0000 7.4000 -0.18571 0.0000 0.0058344 0.10000
54  7.6000 -0.37143 0.0000 7.6000 -0.18571 0.0000 7.4000 -0.18571 0.0000 7.4000 -0.37143 0.0000 0.0058344 0.10000
55  7.6000 -0.55714 0.0000 7.6000 -0.37143 0.0000 7.4000 -0.37143 0.0000 7.4000 -0.55714 0.0000 0.0058344 0.10000
56  7.6357 -0.74286 0.0000 7.6000 -0.55714 0.0000 7.4000 -0.55714 0.0000 7.3643 -0.74286 0.0000 0.0081662 0.11786
57  7.6821 -0.92857 0.0000 7.6357 -0.74286 0.0000 7.3643 -0.74286 0.0000 7.3179 -0.92857 0.0000 0.014841 0.15893
58  7.7000 -1.1143 0.0000 7.6821 -0.92857 0.0000 7.3179 -0.92857 0.0000 7.3000 -1.1143 0.0000 0.021316 0.19107
59  7.5500 -1.3000 0.0000 7.7000 -1.1143 0.0000 7.3000 -1.1143 0.0000 7.4500 -1.3000 0.0000 0.010210 0.12500
